"Search Configuration":"Search Configuration"
"Your current adapter is":"Your current adapter is"
"Edit Configuration":"Edit Configuration"
"Edit Search Configuration":"Edit Search Configuration"
"Please try again later, not possible to save":"Please try again later, not possible to save"
Save:Save
